region;filial;basic_station;range;standard;work_type;sign;contractor;position_approved_plan;position_approved_fact;access_to_equipment_plan;access_to_equipment_fact;data_for_bs_plan;data_for_bs_fact;equipment_purchase_application_plan;equipment_purchase_application_fact;equipment_order_plan;equipment_order_fact;rent_contract_plan;rent_contract_fact;proj_work_begin_plan;proj_work_begin_fact;layout_agreed_plan;layout_agreed_fact;build_work_begin_plan;build_work_begin_fact;build_work_end_plan;build_work_end_fact;equipment_supplied_plan;equipment_supplied_fact;contractor_got_equip_plan;contractor_got_equip_fact;eqiup_for_bs_installed_fact;integration_to_net_forecast;integration_to_net_plan;integration_to_net_fact
R3;C1;БС0694;2100;4G;Модернизация;Въезд;ПО25;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;25.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;25.05.2022;25.06.2022;07.06.2022;14.07.2022;17.06.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;08.06.2022;08.06.2022;07.11.2022;08.06.2022
R3;C1;БС0695;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;25.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;15.06.2022;15.06.2022;07.11.2022;15.06.2022
R3;C1;БС0696;2100;4G;Модернизация;Въезд;ПО31;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;24.05.2022;25.06.2022;13.07.2022;14.07.2022;05.07.2022;13.08.2022;;18.10.2022;02.06.2022;28.10.2022;;30.05.2022;30.05.2022;07.11.2022;30.05.2022
R3;C1;БС0697;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;02.06.2022;28.10.2022;;30.05.2022;30.05.2022;07.11.2022;30.05.2022
R3;C1;БС0698;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;02.06.2022;28.10.2022;;30.05.2022;30.05.2022;07.11.2022;30.05.2022
R3;C1;БС0699;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;25.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;02.06.2022;28.10.2022;;30.05.2022;30.05.2022;07.11.2022;30.05.2022
R3;C1;БС0700;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;25.04.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;02.06.2022;28.10.2022;;30.05.2022;30.05.2022;07.11.2022;30.05.2022
R3;C1;БС0702;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;25.04.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;15.06.2022;15.06.2022;07.11.2022;15.06.2022
R3;C1;БС0703;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;25.04.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;09.06.2022;09.06.2022;07.11.2022;09.06.2022
R3;C1;БС0704;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;09.06.2022;09.06.2022;07.11.2022;09.06.2022
R3;C1;БС0705;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;14.06.2022;14.06.2022;07.11.2022;14.06.2022
R3;C1;БС0707;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;31.05.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;07.06.2022;07.06.2022;07.11.2022;07.06.2022
R3;C1;БС0708;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;07.06.2022;07.06.2022;07.11.2022;07.06.2022
R3;C1;БС0710;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;10.06.2022;10.06.2022;07.11.2022;10.06.2022
R3;C1;БС0711;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;20.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;07.06.2022;07.06.2022;07.11.2022;07.06.2022
R3;C1;БС0715;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;01.07.2022;01.07.2022;07.11.2022;01.07.2022
R3;C1;БС0716;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;01.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;09.06.2022;09.06.2022;07.11.2022;09.06.2022
R3;C1;БС0717;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;01.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;09.06.2022;09.06.2022;07.11.2022;09.06.2022
R3;C1;БС0722;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;20.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;15.06.2022;15.06.2022;07.11.2022;15.06.2022
R3;C1;БС0725;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;01.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;21.06.2022;21.06.2022;07.11.2022;21.06.2022
R3;C1;БС0726;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;21.07.2022;28.10.2022;;15.07.2022;04.08.2022;07.11.2022;04.08.2022
R3;C1;БС0726;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;21.07.2022;28.10.2022;;15.07.2022;09.09.2022;07.11.2022;09.09.2022
R3;C1;БС0728;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;16.06.2022;16.06.2022;07.11.2022;16.06.2022
R3;C1;БС0729;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;30.06.2022;28.10.2022;;27.06.2022;27.06.2022;07.11.2022;27.06.2022
R3;C1;БС0735;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;15.06.2022;15.06.2022;07.11.2022;15.06.2022
R3;C1;БС0735;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;14.06.2022;14.06.2022;07.11.2022;14.06.2022
R3;C1;БС0736;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;22.04.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;08.07.2022;14.07.2022;07.11.2022;14.07.2022
R3;C1;БС0736;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;22.04.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;08.07.2022;12.07.2022;07.11.2022;12.07.2022
R3;C1;БС0737;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;16.06.2022;16.06.2022;07.11.2022;16.06.2022
R3;C1;БС0741;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;20.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;15.06.2022;15.06.2022;07.11.2022;15.06.2022
R3;C1;БС0742;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;02.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;05.07.2022;05.07.2022;07.11.2022;05.07.2022
R3;C1;БС0743;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;01.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;09.06.2022;09.06.2022;07.11.2022;09.06.2022
R3;C1;БС0745;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;05.07.2022;05.07.2022;07.11.2022;05.07.2022
R3;C1;БС0747;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;08.07.2022;08.07.2022;07.11.2022;08.07.2022
R3;C1;БС0749;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;09.06.2022;09.06.2022;07.11.2022;09.06.2022
R3;C1;БС0750;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;01.07.2022;01.07.2022;07.11.2022;01.07.2022
R3;C1;БС0751;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;20.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;10.06.2022;10.06.2022;07.11.2022;10.06.2022
R3;C1;БС0755;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;14.06.2022;14.06.2022;07.11.2022;14.06.2022
R3;C1;БС0756;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;04.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;09.09.2022;28.10.2022;;09.09.2022;08.09.2022;07.11.2022;08.09.2022
R3;C1;БС0756;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;04.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;09.09.2022;28.10.2022;;09.09.2022;27.10.2022;07.11.2022;13.10.2022
R3;C1;БС0757;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;26.08.2022;28.10.2022;;23.08.2022;25.08.2022;07.11.2022;25.08.2022
R3;C1;БС0757;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;26.08.2022;28.10.2022;;23.08.2022;09.09.2022;07.11.2022;09.09.2022
R3;C1;БС0758;900;3G;Модернизация;Въезд;ПО14;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;27.04.2022;22.06.2022;27.09.2021;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;19.09.2022;13.08.2022;;18.10.2022;21.04.2022;28.10.2022;;13.10.2022;27.10.2022;07.11.2022;14.10.2022
R3;C1;БС1027;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;26.08.2022;28.10.2022;;23.08.2022;29.08.2022;07.11.2022;29.08.2022
R3;C1;БС1027;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;26.08.2022;28.10.2022;;23.08.2022;09.09.2022;07.11.2022;09.09.2022
R3;C1;БС1031;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;26.08.2022;28.10.2022;;16.08.2022;16.08.2022;07.11.2022;16.08.2022
R3;C1;БС1031;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;26.08.2022;28.10.2022;;16.08.2022;09.09.2022;07.11.2022;09.09.2022
R3;C1;БС1032;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;26.08.2022;28.10.2022;;22.08.2022;26.08.2022;07.11.2022;26.08.2022
R3;C1;БС1032;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;15.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;26.08.2022;28.10.2022;;22.08.2022;09.09.2022;07.11.2022;09.09.2022
R3;C1;БС1034;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;03.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;12.07.2022;12.07.2022;07.11.2022;12.07.2022
R3;C1;БС1035;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;10.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;09.09.2022;28.10.2022;;09.09.2022;08.09.2022;07.11.2022;08.09.2022
R3;C1;БС1035;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;10.06.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;09.09.2022;28.10.2022;;09.09.2022;27.10.2022;07.11.2022;13.10.2022
R3;C1;БС1036;900;3G;Модернизация;Въезд;ПО23;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;25.04.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;25.04.2022;25.06.2022;20.06.2022;14.07.2022;09.09.2022;13.08.2022;;18.10.2022;30.09.2022;28.10.2022;;30.09.2022;27.10.2022;07.11.2022;04.10.2022
R3;C1;БС1036;2100;4G;Модернизация;Въезд;ПО23;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;25.04.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;25.04.2022;25.06.2022;20.06.2022;14.07.2022;13.09.2022;13.08.2022;;18.10.2022;30.09.2022;28.10.2022;;30.09.2022;27.10.2022;07.11.2022;13.10.2022
R3;C1;БС1037;900;3G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;04.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;30.09.2022;28.10.2022;;23.09.2022;22.09.2022;07.11.2022;22.09.2022
R3;C1;БС1037;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;04.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;30.09.2022;28.10.2022;;23.09.2022;27.10.2022;07.11.2022;04.10.2022
R3;C1;БС1038;2100;4G;Модернизация;Въезд;ПО21;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;06.06.2022;25.06.2022;13.07.2022;14.07.2022;27.06.2022;13.08.2022;10.10.2022;18.10.2022;23.06.2022;28.10.2022;07.10.2022;16.06.2022;16.06.2022;07.11.2022;16.06.2022
R3;C1;БС1039;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;11.04.2022;09.06.2022;12.04.2022;08.06.2022;29.05.2022;22.06.2022;;06.07.2022;;29.06.2022;13.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;24.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;14.06.2022;14.06.2022;07.11.2022;14.06.2022
R3;C1;БС1043;900;3G;Модернизация;Въезд2;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;03.06.2022;28.10.2022;;27.05.2022;27.05.2022;07.11.2022;27.05.2022
R3;C1;БС1043;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;08.07.2022;12.07.2022;07.11.2022;12.07.2022
R3;C1;БС1045;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;29.07.2022;28.10.2022;;22.07.2022;01.08.2022;07.11.2022;01.08.2022
R3;C1;БС1046;900;3G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;22.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;08.07.2022;12.07.2022;07.11.2022;12.07.2022
R3;C1;БС1046;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;22.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;14.07.2022;28.10.2022;;08.07.2022;12.07.2022;07.11.2022;12.07.2022
R3;C1;БС1047;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;19.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;09.06.2022;28.10.2022;;08.06.2022;08.06.2022;07.11.2022;08.06.2022
R3;C1;БС1048;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;30.06.2022;28.10.2022;;22.06.2022;22.06.2022;07.11.2022;22.06.2022
R3;C1;БС1049;900;3G;Модернизация;Въезд2;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;27.05.2022;13.08.2022;;18.10.2022;27.05.2022;28.10.2022;;26.05.2022;26.05.2022;07.11.2022;26.05.2022
R3;C1;БС1049;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;21.05.2022;13.08.2022;;18.10.2022;23.06.2022;28.10.2022;;15.06.2022;15.06.2022;07.11.2022;15.06.2022
R3;C1;БС1050;2100;4G;Модернизация;Въезд;ПО27;25.05.2022;04.04.2022;09.06.2022;05.04.2022;08.06.2022;18.04.2022;22.06.2022;;06.07.2022;;29.06.2022;06.04.2022;09.06.2022;23.06.2022;25.06.2022;;14.07.2022;04.05.2022;13.08.2022;;18.10.2022;21.04.2022;28.10.2022;;18.04.2022;18.04.2022;07.11.2022;18.04.2022
