region;filial;basic_station;range;standard;work_type;sign;contractor;position_approved_plan;position_approved_fact;access_to_equipment_plan;access_to_equipment_fact;data_for_bs_plan;data_for_bs_fact;equipment_purchase_application_plan;equipment_purchase_application_fact;equipment_order_plan;equipment_order_fact;rent_contract_plan;rent_contract_fact;proj_work_begin_plan;proj_work_begin_fact;layout_agreed_plan;layout_agreed_fact;build_work_begin_plan;build_work_begin_fact;build_work_end_plan;build_work_end_fact;equipment_supplied_plan;equipment_supplied_fact;contractor_got_equip_plan;contractor_got_equip_fact;eqiup_for_bs_installed_fact;integration_to_net_forecast;integration_to_net_plan;integration_to_net_fact
R1;А1;БС2115;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;25.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;13.06.2022;02.08.2022;22.06.2022;21.08.2022;04.07.2022;20.09.2022;;25.11.2022;14.07.2022;05.12.2022;;06.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС2110;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;25.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;13.06.2022;02.08.2022;16.08.2022;21.08.2022;15.08.2022;20.09.2022;;25.11.2022;12.08.2022;05.12.2022;;09.08.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1385;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;22.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;10.06.2022;02.08.2022;25.08.2022;21.08.2022;14.09.2022;20.09.2022;;25.11.2022;30.09.2022;05.12.2022;;22.09.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1688;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;24.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;13.06.2022;02.08.2022;;21.08.2022;22.09.2022;20.09.2022;;25.11.2022;26.08.2022;05.12.2022;;14.08.2022;27.10.2022;15.12.2022;
R1;А1;БС1391;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;20.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;23.06.2022;02.08.2022;16.10.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;26.05.2022;05.12.2022;;;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1674;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;26.05.2022;02.08.2022;;21.08.2022;15.09.2022;20.09.2022;17.08.2022;25.11.2022;;05.12.2022;;;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1386;2100;4G;Модернизация;Въезд;ПО27;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;20.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;23.06.2022;02.08.2022;16.10.2022;21.08.2022;24.05.2022;20.09.2022;;25.11.2022;26.05.2022;05.12.2022;;;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1677;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;28.05.2022;02.08.2022;01.07.2022;21.08.2022;15.09.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;26.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1389;1800;4G;Модернизация;Въезд;ПО32;13.10.2021;18.10.2021;28.10.2021;18.10.2021;27.10.2021;12.10.2021;10.11.2021;19.02.2019;24.11.2021;;17.11.2021;18.10.2021;28.10.2021;24.10.2021;13.11.2021;29.03.2022;02.12.2021;15.11.2021;01.01.2022;08.08.2022;08.03.2022;27.03.2022;18.03.2022;27.12.2021;;27.03.2022;28.03.2022;27.03.2022
R1;А1;БС1389;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;24.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;06.06.2022;02.08.2022;16.08.2022;21.08.2022;22.09.2022;20.09.2022;;25.11.2022;26.08.2022;05.12.2022;;10.08.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1390;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;24.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;10.06.2022;02.08.2022;10.08.2022;21.08.2022;06.09.2022;20.09.2022;;25.11.2022;26.08.2022;05.12.2022;;11.08.2022;27.10.2022;15.12.2022;17.10.2022
